phase_id,type,choppy,start_date,end_date,duration_trading_days,duration_calendar_days,pct_move,max_counter_move_pct,start_price,end_price,start_50dma,start_200dma,start_rsi14,start_price_vs_200dma_pct,end_50dma,end_200dma,end_rsi14,trend_confirmed_date,trend_confirmed_lag_days
1,Bull,False,2007-09-17,2008-01-08,77,113,39.9,8.58,4494.65,6287.85,,,,,5896.69,,69.42,,
2,Bear,False,2008-01-08,2008-07-16,129,190,-39.3,16.1,6287.85,3816.7,5896.69,,69.42,,4535.68,5184.94,32.65,2008-07-07,181.0
3,Bull,False,2008-07-16,2008-08-11,18,26,21.06,6.41,3816.7,4620.4,4535.68,5184.94,32.65,-26.39,4307.38,5101.15,63.95,,
4,Bear,False,2008-08-11,2008-10-27,51,77,-45.37,7.28,4620.4,2524.2,4307.38,5101.15,63.95,-9.42,3931.29,4612.7,20.92,2008-08-11,0.0
5,Bull,True,2008-10-27,2010-11-09,496,743,149.65,18.9,2524.2,6301.55,3931.29,4612.7,20.92,-45.28,5962.62,5384.23,66.96,2009-04-15,170.0
6,Bear,True,2010-11-09,2011-12-20,271,406,-27.89,13.12,6301.55,4544.2,5962.62,5384.23,66.96,17.04,4981.01,5311.69,30.2,2011-01-27,79.0
7,Bull,True,2011-12-20,2015-03-03,777,1169,97.97,14.58,4544.2,8996.25,4981.01,5311.69,30.2,-14.45,8575.53,8025.89,65.29,2012-02-01,43.0
8,Bear,False,2015-03-03,2016-02-25,241,359,-22.52,9.75,8996.25,6970.6,8575.53,8025.89,65.29,12.09,7480.74,7982.11,35.35,2015-04-27,55.0
9,Bull,True,2016-02-25,2020-01-14,950,1419,77.35,14.55,6970.6,12362.3,7480.74,7982.11,35.35,-12.67,12067.08,11613.99,61.73,2016-04-18,53.0
10,Bear,False,2020-01-14,2020-03-23,47,69,-38.44,5.83,12362.3,7610.25,12067.08,11613.99,61.73,6.44,11398.25,11555.59,19.01,2020-02-26,43.0
11,Bull,True,2020-03-23,2026-01-02,1431,2111,245.96,17.23,7610.25,26328.55,11398.25,11555.59,19.01,-34.14,25953.4,24970.45,62.39,2020-07-17,116.0
