phase_id,type,start_month,end_month,sector,sector_return_pct,is_partial,partial_start_date,nifty_return_pct,relative_return_pct,rank_by_relative
1,Bull,2007-09-30,2007-12-31,Bank,22.65,False,,22.25,0.4,2.0
1,Bull,2007-09-30,2007-12-31,IT,0.17,False,,22.25,-22.08,3.0
1,Bull,2007-09-30,2007-12-31,Pharma,,False,,22.25,,
1,Bull,2007-09-30,2007-12-31,PSU Bank,,False,,22.25,,
1,Bull,2007-09-30,2007-12-31,Midcap100,34.31,False,,22.25,12.06,1.0
1,Bull,2007-09-30,2007-12-31,Auto,,False,,22.25,,
1,Bull,2007-09-30,2007-12-31,FMCG,,False,,22.25,,
1,Bull,2007-09-30,2007-12-31,Metal,,False,,22.25,,
1,Bull,2007-09-30,2007-12-31,Energy,,False,,22.25,,
1,Bull,2007-09-30,2007-12-31,Realty,,False,,22.25,,
1,Bull,2007-09-30,2007-12-31,Fin Service,,False,,22.25,,
2,Bear,2007-12-31,2008-11-30,Bank,-56.49,False,,-55.12,-1.38,2.0
2,Bear,2007-12-31,2008-11-30,IT,-49.09,False,,-55.12,6.03,1.0
2,Bear,2007-12-31,2008-11-30,Pharma,,False,,-55.12,,
2,Bear,2007-12-31,2008-11-30,PSU Bank,,False,,-55.12,,
2,Bear,2007-12-31,2008-11-30,Midcap100,-69.4,False,,-55.12,-14.28,3.0
2,Bear,2007-12-31,2008-11-30,Auto,,False,,-55.12,,
2,Bear,2007-12-31,2008-11-30,FMCG,,False,,-55.12,,
2,Bear,2007-12-31,2008-11-30,Metal,,False,,-55.12,,
2,Bear,2007-12-31,2008-11-30,Energy,,False,,-55.12,,
2,Bear,2007-12-31,2008-11-30,Realty,,False,,-55.12,,
2,Bear,2007-12-31,2008-11-30,Fin Service,,False,,-55.12,,
3,Bull,2008-11-30,2010-12-31,Bank,174.79,False,,122.66,52.13,2.0
3,Bull,2008-11-30,2010-12-31,IT,205.77,False,,122.66,83.11,1.0
3,Bull,2008-11-30,2010-12-31,Pharma,,False,,122.66,,
3,Bull,2008-11-30,2010-12-31,PSU Bank,157.14,True,2009-01-31,122.66,43.75,
3,Bull,2008-11-30,2010-12-31,Midcap100,150.11,False,,122.66,27.45,3.0
3,Bull,2008-11-30,2010-12-31,Auto,,False,,122.66,,
3,Bull,2008-11-30,2010-12-31,FMCG,,False,,122.66,,
3,Bull,2008-11-30,2010-12-31,Metal,,False,,122.66,,
3,Bull,2008-11-30,2010-12-31,Energy,,False,,122.66,,
3,Bull,2008-11-30,2010-12-31,Realty,,False,,122.66,,
3,Bull,2008-11-30,2010-12-31,Fin Service,,False,,122.66,,
4,Bear,2010-12-31,2011-12-31,Bank,-32.42,False,,-24.62,-7.8,2.0
4,Bear,2010-12-31,2011-12-31,IT,-18.05,False,,-24.62,6.57,1.0
4,Bear,2010-12-31,2011-12-31,Pharma,-2.42,True,2011-01-31,-24.62,13.59,
4,Bear,2010-12-31,2011-12-31,PSU Bank,-40.13,False,,-24.62,-15.52,4.0
4,Bear,2010-12-31,2011-12-31,Midcap100,-39.9,False,,-24.62,-15.28,3.0
4,Bear,2010-12-31,2011-12-31,Auto,,False,,-24.62,,
4,Bear,2010-12-31,2011-12-31,FMCG,,False,,-24.62,,
4,Bear,2010-12-31,2011-12-31,Metal,,False,,-24.62,,
4,Bear,2010-12-31,2011-12-31,Energy,,False,,-24.62,,
4,Bear,2010-12-31,2011-12-31,Realty,,False,,-24.62,,
4,Bear,2010-12-31,2011-12-31,Fin Service,,False,,-24.62,,
5,Bull,2011-12-31,2015-02-28,Bank,139.37,False,,91.26,48.11,2.0
5,Bull,2011-12-31,2015-02-28,IT,104.51,False,,91.26,13.25,3.0
5,Bull,2011-12-31,2015-02-28,Pharma,152.49,False,,91.26,61.23,1.0
5,Bull,2011-12-31,2015-02-28,PSU Bank,56.52,False,,91.26,-34.74,5.0
5,Bull,2011-12-31,2015-02-28,Midcap100,96.22,False,,91.26,4.96,4.0
5,Bull,2011-12-31,2015-02-28,Auto,,False,,91.26,,
5,Bull,2011-12-31,2015-02-28,FMCG,,False,,91.26,,
5,Bull,2011-12-31,2015-02-28,Metal,,False,,91.26,,
5,Bull,2011-12-31,2015-02-28,Energy,,False,,91.26,,
5,Bull,2011-12-31,2015-02-28,Realty,,False,,91.26,,
5,Bull,2011-12-31,2015-02-28,Fin Service,,False,,91.26,,
6,Bear,2015-02-28,2016-02-29,Bank,-26.88,False,,-21.0,-5.88,4.0
6,Bear,2015-02-28,2016-02-29,IT,-18.13,False,,-21.0,2.87,2.0
6,Bear,2015-02-28,2016-02-29,Pharma,-3.35,False,,-21.0,17.65,1.0
6,Bear,2015-02-28,2016-02-29,PSU Bank,-46.38,False,,-21.0,-25.38,5.0
6,Bear,2015-02-28,2016-02-29,Midcap100,-20.92,False,,-21.0,0.08,3.0
6,Bear,2015-02-28,2016-02-29,Auto,,False,,-21.0,,
6,Bear,2015-02-28,2016-02-29,FMCG,,False,,-21.0,,
6,Bear,2015-02-28,2016-02-29,Metal,,False,,-21.0,,
6,Bear,2015-02-28,2016-02-29,Energy,,False,,-21.0,,
6,Bear,2015-02-28,2016-02-29,Realty,,False,,-21.0,,
6,Bear,2015-02-28,2016-02-29,Fin Service,,False,,-21.0,,
7,Bull,2016-02-29,2019-12-31,Bank,130.61,False,,74.16,56.45,1.0
7,Bull,2016-02-29,2019-12-31,IT,52.28,False,,74.16,-21.87,3.0
7,Bull,2016-02-29,2019-12-31,Pharma,-28.01,False,,74.16,-102.16,5.0
7,Bull,2016-02-29,2019-12-31,PSU Bank,23.14,False,,74.16,-51.02,4.0
7,Bull,2016-02-29,2019-12-31,Midcap100,72.79,False,,74.16,-1.37,2.0
7,Bull,2016-02-29,2019-12-31,Auto,,False,,74.16,,
7,Bull,2016-02-29,2019-12-31,FMCG,,False,,74.16,,
7,Bull,2016-02-29,2019-12-31,Metal,,False,,74.16,,
7,Bull,2016-02-29,2019-12-31,Energy,,False,,74.16,,
7,Bull,2016-02-29,2019-12-31,Realty,,False,,74.16,,
7,Bull,2016-02-29,2019-12-31,Fin Service,,False,,74.16,,
8,Bear,2019-12-31,2020-03-31,Bank,-40.48,False,,-29.34,-11.13,4.0
8,Bear,2019-12-31,2020-03-31,IT,-18.46,False,,-29.34,10.89,2.0
8,Bear,2019-12-31,2020-03-31,Pharma,-10.74,False,,-29.34,18.6,1.0
8,Bear,2019-12-31,2020-03-31,PSU Bank,-47.31,False,,-29.34,-17.96,5.0
8,Bear,2019-12-31,2020-03-31,Midcap100,-32.34,False,,-29.34,-3.0,3.0
8,Bear,2019-12-31,2020-03-31,Auto,,False,,-29.34,,
8,Bear,2019-12-31,2020-03-31,FMCG,,False,,-29.34,,
8,Bear,2019-12-31,2020-03-31,Metal,,False,,-29.34,,
8,Bear,2019-12-31,2020-03-31,Energy,,False,,-29.34,,
8,Bear,2019-12-31,2020-03-31,Realty,,False,,-29.34,,
8,Bear,2019-12-31,2020-03-31,Fin Service,,False,,-29.34,,
9,Bull,2020-03-31,2025-11-30,Bank,212.12,False,,204.77,7.36,4.0
9,Bull,2020-03-31,2025-11-30,IT,193.06,False,,204.77,-11.7,5.0
9,Bull,2020-03-31,2025-11-30,Pharma,220.47,False,,204.77,15.7,3.0
9,Bull,2020-03-31,2025-11-30,PSU Bank,547.65,False,,204.77,342.88,1.0
9,Bull,2020-03-31,2025-11-30,Midcap100,447.79,False,,204.77,243.03,2.0
9,Bull,2020-03-31,2025-11-30,Auto,143.95,True,2022-01-31,204.77,92.83,
9,Bull,2020-03-31,2025-11-30,FMCG,50.7,True,2021-08-31,204.77,-2.25,
9,Bull,2020-03-31,2025-11-30,Metal,10.95,True,2024-10-31,204.77,2.7,
9,Bull,2020-03-31,2025-11-30,Energy,0.0,True,2025-11-30,204.77,0.0,
9,Bull,2020-03-31,2025-11-30,Realty,-0.47,True,2024-03-31,204.77,-17.83,
9,Bull,2020-03-31,2025-11-30,Fin Service,44.73,True,2023-08-31,204.77,8.64,
